"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.314851750E0,-2.543660431E0,-7.963439941E-2,9.496102753E0
2.324784750E0,-1.802850952E0,3.712280273E-2,9.887987823E0
2.334717750E0,-1.273252258E0,2.010319519E-1,1.021296204E1
2.344651750E0,-1.182091827E0,3.327580261E-1,1.025801834E1
2.354584750E0,-1.339863739E0,4.180805969E-1,1.027837601E1
2.364517708E0,-1.615889740E0,5.159770203E-1,1.030576904E1
2.374450708E0,-1.892664185E0,6.837780762E-1,1.014919464E1
2.384384708E0,-2.040107574E0,8.744815063E-1,9.679172058E0
2.394317708E0,-1.995799713E0,1.161584473E0,9.324559479E0
2.404250708E0,-1.820214844E0,1.565744019E0,9.232351227E0
2.414183708E0,-1.650916901E0,2.048639832E0,9.192534027E0
2.424117708E0,-1.599274292E0,2.448009338E0,9.232949982E0
2.434050708E0,-1.767823792E0,2.708467712E0,9.188043365E0
2.443983708E0,-2.025438080E0,2.819087677E0,8.872050476E0
2.453916708E0,-2.125579834E0,2.765648804E0,8.433013458E0
2.463850708E0,-2.119592285E0,2.618654480E0,8.062533875E0
2.473783708E0,-1.966460724E0,2.486030273E0,7.743696899E0
2.483716708E0,-1.785037994E0,2.435734863E0,7.486232300E0
2.493649708E0,-1.539548492E0,2.512974243E0,7.185507660E0
2.503583708E0,-1.187330933E0,2.689906311E0,6.965764618E0
2.513516708E0,-7.897576904E-1,2.889291687E0,6.794969788E0
2.523449708E0,-4.567002869E-1,3.121009827E0,6.755302277E0
2.533382708E0,-1.752854919E-1,3.338058472E0,7.079528046E0
2.543316708E0,1.616638184E-2,3.497476959E0,7.588469696E0
2.553249708E0,5.523513794E-2,3.650758209E0,8.069868622E0
2.563182708E0,-2.604583740E-2,3.715423737E0,8.275540924E0
2.573115708E0,-2.173480225E-1,3.751798096E0,8.173453217E0
2.583049708E0,-5.177732849E-1,3.769760742E0,8.062384186E0
2.592982708E0,-6.963519287E-1,3.757785645E0,8.116571503E0
2.602915708E0,-6.911128235E-1,3.779191132E0,8.207432556E0
2.612848708E0,-6.306385803E-1,3.786376190E0,8.145611115E0
2.622782708E0,-4.427792358E-1,3.794908447E0,7.886649628E0
2.632715708E0,-1.187031555E-1,3.816313934E0,7.708969116E0
2.642648708E0,2.290237427E-1,3.838617554E0,7.603737946E0
2.652581708E0,3.763174438E-1,3.839216309E0,7.532186737E0
2.662515708E0,3.179388428E-1,3.741469574E0,7.628137207E0
2.672448708E0,9.565109253E-2,3.583997040E0,7.807763672E0
2.682381708E0,-1.661544800E-1,3.390748901E0,7.908653870E0
2.692314708E0,-2.996768188E-1,3.221001892E0,7.839797058E0
2.702248708E0,-2.234852600E-1,3.103346558E0,7.708370361E0
2.712181708E0,-1.203497314E-1,3.039579163E0,7.683821411E0
2.722114708E0,-6.960525513E-2,3.036735077E0,7.855813751E0
2.732047708E0,-1.377136230E-1,3.115321655E0,8.062683563E0
2.741981708E0,-3.074606323E-1,3.225193176E0,8.163573761E0
2.751914708E0,-4.822970581E-1,3.283871155E0,8.161478119E0
2.761847708E0,-5.948629761E-1,3.308569794E0,8.058192902E0
2.771780708E0,-5.628295898E-1,3.294499054E0,8.081244965E0
2.781714708E0,-4.025129700E-1,3.229384460E0,8.249794464E0
2.791647708E0,-1.565744019E-1,3.128793640E0,8.372389526E0
2.801580708E0,7.334747314E-2,2.954256592E0,8.236472168E0
2.811513708E0,1.948947144E-1,2.732118530E0,7.988737335E0
2.821447708E0,1.907034302E-1,2.502346344E0,8.004454651E0
2.831380708E0,6.256988525E-2,2.265987854E0,8.390501862E0
2.841313708E0,-1.706451416E-1,2.077829132E0,8.822353821E0
2.851246708E0,-5.101391602E-1,1.903591461E0,8.878487091E0
2.861180708E0,-8.258326721E-1,1.771116943E0,8.678353271E0
2.871113708E0,-1.033899994E0,1.651515656E0,8.708291016E0
2.881046708E0,-1.146914978E0,1.538350983E0,8.912915497E0
2.890979708E0,-1.221459961E0,1.422042847E0,8.951984253E0
2.900913708E0,-1.279090118E0,1.306782532E0,8.996292114E0
2.910846708E0,-1.294657745E0,1.115480347E0,9.272617493E0
2.920779708E0,-1.280736694E0,8.921447754E-1,9.668095093E0
2.930712708E0,-1.206940155E0,6.709048462E-1,1.002210892E1
2.940646708E0,-1.043480072E0,4.477189636E-1,1.026640091E1
2.950579708E0,-9.316625977E-1,2.673440552E-1,1.016176849E1
2.960512708E0,-8.545729065E-1,1.435514832E-1,9.798623657E0
2.970445708E0,-6.864724731E-1,1.618135071E-1,9.640851746E0
2.980379708E0,-4.796026611E-1,3.150947571E-1,9.499096527E0
2.990312708E0,-3.882925415E-1,4.736151123E-1,9.075776825E0
3.000245708E0,-2.829116821E-1,6.101312256E-1,8.516988831E0
3.010178708E0,-2.408491516E-1,6.809339905E-1,8.286019135E0
3.020111708E0,-2.935395813E-1,6.864724731E-1,8.744216309E0
3.030045708E0,-4.954696655E-1,7.125183105E-1,9.316775665E0
3.039978708E0,-8.051756287E-1,7.062313843E-1,9.823022919E0
3.049911708E0,-1.156495056E0,6.536906433E-1,1.011776001E1
3.059844708E0,-1.375339966E0,5.167254639E-1,9.980345764E0
3.069778708E0,-1.403182068E0,2.019300842E-1,9.590107269E0
3.079711708E0,-1.280287628E0,-1.887574768E-1,9.290280762E0
3.089644708E0,-1.050365753E0,-6.165678406E-1,9.120833130E0
3.099577708E0,-7.921527100E-1,-1.016536102E0,9.025780792E0
3.109511708E0,-4.622387695E-1,-1.347048798E0,9.123976593E0
3.119444708E0,-2.004331970E-1,-1.549727325E0,9.311087494E0
3.129377708E0,-1.249900818E-1,-1.595083008E0,9.520651703E0
3.139310708E0,-2.514770508E-1,-1.518442383E0,9.700577545E0
3.149244708E0,-3.603007507E-1,-1.343905334E0,9.764494629E0
3.159177708E0,-3.917353821E-1,-1.177152100E0,9.816586304E0
3.169110708E0,-4.077520752E-1,-1.060245209E0,9.894274750E0
3.179043708E0,-4.707710266E-1,-1.044827271E0,1.004531067E1
3.188977708E0,-7.336244202E-1,-1.047671356E0,1.008318192E1
3.198910708E0,-1.161135406E0,-1.054856415E0,9.806108093E0
3.208843708E0,-1.604812775E0,-1.061742096E0,9.451794891E0
3.218776708E0,-1.870061188E0,-1.051263885E0,9.250463562E0
3.228710708E0,-1.925895081E0,-1.075363770E0,9.354347534E0
3.238643708E0,-1.746268616E0,-1.147513733E0,9.817185059E0
3.248576708E0,-1.481918335E0,-1.278940430E0,1.029708710E1
3.258509708E0,-1.244512024E0,-1.513802032E0,1.065050217E1
3.268443708E0,-1.031355286E0,-1.842817841E0,1.076845688E1
3.278376708E0,-8.969348145E-1,-2.154170380E0,1.058493851E1
3.288309708E0,-7.948471069E-1,-2.430944824E0,1.030337402E1
3.298242708E0,-6.436614990E-1,-2.707868958E0,1.010937744E1
3.308176708E0,-4.378395081E-1,-2.864443359E0,9.966724091E0
3.318109708E0,-2.106120300E-1,-2.982398071E0,1.005803421E1
3.328042708E0,-9.145980835E-2,-3.046464844E0,1.045426025E1
3.337975708E0,-1.381626892E-1,-3.070265350E0,1.092383377E1
3.347909708E0,-3.900888062E-1,-3.059038696E0,1.128054199E1
3.357842708E0,-6.885681152E-1,-3.032543793E0,1.143532013E1
3.367776250E0,-8.162525940E-1,-3.008443909E0,1.123219254E1
3.377709250E0,-8.872050476E-1,-3.050356750E0,1.088581284E1
3.387643250E0,-8.783734131E-1,-3.131488037E0,1.059107574E1
3.397576250E0,-7.581733704E-1,-3.200793915E0,1.079345490E1
3.407509250E0,-6.024971008E-1,-3.256178741E0,1.152453461E1
3.417442250E0,-6.030958557E-1,-3.337609406E0,1.227746887E1
3.427376250E0,-7.182064819E-1,-3.412902832E0,1.245799347E1
3.437309250E0,-1.021775208E0,-3.505709839E0,1.197300201E1
3.447242250E0,-1.270108795E0,-3.538641357E0,1.168589905E1
3.457175250E0,-1.142274628E0,-3.520529022E0,1.154474258E1
3.467108250E0,-8.135581970E-1,-3.567231903E0,1.127754822E1
3.477042250E0,-6.230044556E-1,-3.695664825E0,1.109447891E1
3.486975250E0,-5.921685791E-1,-3.860023041E0,1.122111557E1
3.496908250E0,-7.039860535E-1,-4.054917755E0,1.164323776E1
3.506841250E0,-8.655001831E-1,-4.214934998E0,1.198303116E1
3.516775250E0,-1.019529877E0,-4.342918854E0,1.206491089E1
3.526708250E0,-1.080752563E0,-4.356540527E0,1.183139648E1
3.536641250E0,-1.039288788E0,-4.206253052E0,1.141630966E1
3.546574250E0,-1.012793884E0,-3.934717712E0,1.095212494E1
3.556508250E0,-1.023721161E0,-3.589685211E0,1.070409073E1
3.566441250E0,-1.025367737E0,-3.275488586E0,1.060754150E1
3.576374250E0,-1.113684082E0,-3.052751770E0,1.076172089E1
3.586307250E0,-1.331481171E0,-2.877615967E0,1.105600891E1
3.596241250E0,-1.389710083E0,-2.695295105E0,1.119297409E1
3.606174250E0,-1.180445251E0,-2.546953583E0,1.077249847E1
3.616107250E0,-8.250842285E-1,-2.460882568E0,1.035591476E1
3.626040250E0,-4.076023865E-1,-2.346670074E0,1.030397278E1
3.635974250E0,-1.544787598E-1,-2.237696686E0,1.025532394E1
3.645907250E0,-2.474354553E-1,-2.144590302E0,1.010758118E1
3.655840250E0,-5.766009521E-1,-2.188449097E0,9.984836426E0
3.665773250E0,-9.930349731E-1,-2.364483032E0,1.003827530E1
3.675707250E0,-1.470092926E0,-2.574047241E0,1.048823959E1
3.685640250E0,-2.060016174E0,-2.693648529E0,1.096110626E1
3.695573250E0,-2.680026855E0,-2.650987244E0,1.106992996E1
3.705506250E0,-3.084186401E0,-2.461930389E0,1.055515045E1
3.715440250E0,-3.043770447E0,-2.063758392E0,1.009904892E1
3.725373250E0,-2.546354828E0,-1.616039429E0,1.001133133E1
3.735306250E0,-2.002086639E0,-1.197958832E0,1.018257523E1
3.745239250E0,-1.608554993E0,-8.587641907E-1,1.053554123E1
3.755173250E0,-1.405128021E0,-6.285429382E-1,1.074765015E1
3.765106250E0,-1.272503815E0,-5.644761658E-1,1.074630295E1
3.775039250E0,-1.053359528E0,-5.983058167E-1,1.025816803E1
3.784972250E0,-8.244854736E-1,-7.029382324E-1,9.519154816E0
3.794906250E0,-6.273454285E-1,-8.036787415E-1,9.157057800E0
3.804839250E0,-4.287084961E-1,-7.955955505E-1,9.202862549E0
3.814772250E0,-3.573069763E-1,-6.930587769E-1,9.522148590E0
3.824705250E0,-5.902226257E-1,-5.709127808E-1,9.912985840E0
3.834639250E0,-1.149759064E0,-5.216651917E-1,9.901908875E0
3.844572250E0,-1.855840759E0,-5.851332092E-1,9.596693573E0
3.854505250E0,-2.651436310E0,-6.460565186E-1,9.274862823E0
3.864438250E0,-3.158731384E0,-6.447093201E-1,9.068142700E0
3.874372250E0,-3.138074341E0,-5.360353088E-1,8.787775726E0
3.884305250E0,-2.570454712E0,-3.300636292E-1,8.558302917E0
3.894238250E0,-1.814676361E0,-1.428030396E-1,8.620274048E0
3.904171250E0,-1.195563812E0,2.155517578E-2,8.867110748E0
3.914105250E0,-8.186476135E-1,1.366658020E-1,9.087901611E0
3.924038250E0,-7.532336426E-1,2.110610962E-1,9.109007721E0
3.933971250E0,-1.023721161E0,2.911445618E-1,9.017547913E0
3.943904250E0,-1.300794983E0,3.704795837E-1,8.973090363E0
3.953837250E0,-1.275497589E0,4.525090027E-1,9.023834839E0
