"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.394699600E-1,5.895915031E0,3.522234917E0,1.302652645E1
9.418028250E-1,6.063412666E0,3.503092289E0,1.294517040E1
9.441357410E-1,6.216553211E0,3.527020693E0,1.285424328E1
9.464686580E-1,6.398407936E0,3.560520172E0,1.272024536E1
9.488015750E-1,6.594619274E0,3.594019651E0,1.258146191E1
9.511344390E-1,6.781259537E0,3.608376503E0,1.242353535E1
9.534673560E-1,6.929614544E0,3.622733593E0,1.225603771E1
9.558002730E-1,7.039684296E0,3.661018610E0,1.209332561E1
9.581331370E-1,7.111468792E0,3.661018610E0,1.193061352E1
9.604660540E-1,7.173682213E0,3.689732552E0,1.175833035E1
9.627989710E-1,7.216753006E0,3.747160196E0,1.160519028E1
