"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.654602500E0,6.500411034E-1,-1.925927028E-2,-8.784663677E-2
2.664534500E0,6.473760605E-1,-5.823818594E-2,-6.965515763E-2
2.674466500E0,6.581261754E-1,-6.841971725E-2,-4.832509905E-2
2.684399500E0,6.946988106E-1,-7.103957236E-2,-3.546824306E-2
2.694331500E0,7.369309664E-1,-7.921946794E-2,-2.227734029E-2
2.704263500E0,7.755138278E-1,-9.742178768E-2,-1.015492342E-2
2.714195500E0,7.814662457E-1,-1.228531078E-1,-2.551065292E-3
2.724128500E0,7.759741545E-1,-1.205351278E-1,8.055033162E-3
2.734060500E0,7.548478842E-1,-1.114268526E-1,2.677412704E-2
2.743992500E0,7.186537385E-1,-1.074458361E-1,5.822592974E-2
2.753925500E0,6.935675740E-1,-8.520897478E-2,8.301516622E-2
2.763857500E0,6.870628595E-1,-7.045330107E-2,9.341650456E-2
2.773789500E0,6.993917227E-1,-8.479628712E-2,1.029932350E-1
2.783721500E0,7.215176225E-1,-1.073418632E-1,1.240699291E-1
2.793654500E0,7.241211534E-1,-1.020443067E-1,1.445187479E-1
2.803586500E0,6.848298907E-1,-7.347027212E-2,1.507362276E-1
2.813518500E0,6.155980825E-1,-3.475216404E-2,1.512438357E-1
2.823450500E0,5.365164876E-1,-1.191730984E-2,1.547372341E-1
2.833383500E0,4.675342143E-1,-4.397609271E-3,1.520208120E-1
2.843315500E0,4.248082638E-1,-3.115049750E-2,1.575454473E-1
2.853247500E0,3.849572539E-1,-7.923280448E-2,1.669067293E-1
2.863180500E0,3.332337737E-1,-7.950270921E-2,1.767524630E-1
2.873112500E0,3.010084629E-1,-3.336291015E-2,1.780155897E-1
2.883044500E0,2.952167690E-1,-1.574466005E-4,1.740205884E-1
2.892976500E0,2.673808932E-1,2.180164680E-2,1.604400724E-1
2.902909500E0,2.362947464E-1,2.767877094E-2,1.522999555E-1
2.912841500E0,2.209778428E-1,3.141204594E-3,1.565548927E-1
2.922773500E0,2.388897240E-1,-6.718530506E-2,1.565527916E-1
2.932706500E0,2.795740366E-1,-1.857705265E-1,1.536741853E-1
2.942638500E0,3.167389929E-1,-3.106448352E-1,1.494810432E-1
2.952570500E0,3.224791586E-1,-3.437372744E-1,1.503763944E-1
2.962502500E0,3.271906972E-1,-3.144190311E-1,1.389039755E-1
2.972435500E0,3.243890405E-1,-2.803177834E-1,1.193095073E-1
2.982367500E0,3.023310900E-1,-2.666467428E-1,8.415215462E-2
2.992299500E0,2.591777742E-1,-2.516326308E-1,4.642821476E-2
3.002232500E0,1.931158751E-1,-2.370501906E-1,1.682970300E-2
3.012164500E0,1.015348285E-1,-2.627904117E-1,-6.761110388E-3
3.022096500E0,-2.289319178E-3,-2.945373058E-1,-3.093616478E-2
3.032028500E0,-8.595598489E-2,-2.942539454E-1,-4.367859289E-2
3.041961500E0,-1.496809423E-1,-2.350318432E-1,-4.413331300E-2
3.051893500E0,-1.889005154E-1,-1.315390170E-1,-2.631090768E-2
3.061825500E0,-1.925856918E-1,-5.727886036E-2,-1.199940685E-2
3.071758500E0,-1.847964823E-1,-8.813591674E-3,-1.587004587E-2
3.081690500E0,-1.837088019E-1,4.535743222E-2,-1.872723177E-2
3.091622500E0,-1.746178418E-1,8.715840429E-2,-1.458708011E-2
3.101554500E0,-1.642146856E-1,9.794145077E-2,-1.079490595E-2
3.111487500E0,-1.564627588E-1,1.329854429E-1,-1.417339221E-2
3.121419500E0,-1.371597648E-1,1.788140088E-1,-2.329460345E-2
3.131351500E0,-1.139529720E-1,1.954638362E-1,-2.041732334E-2
3.141283500E0,-1.035390347E-1,1.790951043E-1,-2.198083885E-2
3.151216500E0,-1.079074219E-1,1.278569549E-1,-1.993020624E-2
3.161148500E0,-1.135899201E-1,6.591313332E-2,-3.105891868E-3
3.171080500E0,-9.457202256E-2,4.437135532E-2,5.125938915E-3
3.181013500E0,-5.029732734E-2,7.096955180E-2,-2.572435187E-3
3.190945500E0,-2.266782708E-2,1.241302416E-1,-1.136779040E-2
3.200877500E0,-4.328163341E-2,1.732119322E-1,-1.746974140E-2
3.210809500E0,-9.132852405E-2,2.004885674E-1,-2.537799813E-2
3.220742500E0,-1.426388919E-1,1.781084687E-1,-2.604259923E-2
3.230674500E0,-1.715009063E-1,9.491930902E-2,-2.270166203E-2
3.240606500E0,-1.862488687E-1,1.930513047E-2,-1.410391741E-2
