"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.539492417E0,2.878384590E-1,1.457340121E-1,-5.326565728E-2
3.549424417E0,2.780360579E-1,5.957418308E-2,-7.086967677E-2
3.559356417E0,3.003512323E-1,-9.213931859E-3,-5.226217210E-2
3.569288417E0,3.308480084E-1,-2.763761207E-2,-7.982610725E-3
3.579221417E0,3.624722362E-1,-3.114426509E-3,4.456848279E-2
3.589153417E0,3.929659724E-1,1.346771698E-2,9.338135272E-2
3.599085417E0,4.132044017E-1,5.291545764E-3,1.253179759E-1
3.609017417E0,4.358302951E-1,4.927982111E-3,1.118237898E-1
3.618949417E0,4.599162042E-1,4.139251634E-2,6.241257116E-2
3.628881417E0,4.812229574E-1,9.594048560E-2,4.480860662E-3
3.638813417E0,5.213085413E-1,1.010779887E-1,-2.151638642E-2
3.648745417E0,5.607995391E-1,8.398871869E-2,-8.876699023E-3
3.658678417E0,5.890991092E-1,7.346577197E-2,2.076348476E-2
3.668610417E0,5.797833800E-1,5.517730862E-2,5.782784894E-2
3.678542417E0,5.329954028E-1,4.054696485E-2,8.146101236E-2
3.688474417E0,4.552184045E-1,4.512237385E-2,8.718592674E-2
3.698406417E0,3.767364025E-1,6.045526266E-2,7.610318065E-2
3.708338417E0,2.967003286E-1,6.034553796E-2,5.582019314E-2
3.718270417E0,2.094408125E-1,2.915379778E-2,3.926837817E-2
3.728203417E0,1.158387214E-1,-2.210819349E-2,3.163207695E-2
3.738135417E0,2.672029473E-2,-7.659646869E-2,2.961792797E-2
3.748067417E0,-8.295757324E-2,-1.091715470E-1,3.361248225E-2
3.757999417E0,-1.909463555E-1,-1.281513721E-1,3.462155536E-2
3.767931417E0,-2.831411362E-1,-1.530375928E-1,3.529716283E-2
